text,label
A bad grade will destroy all my chances of succeeding.,catastrophizing
People from that college are all arrogant.,overgeneralization
The restaurant was crowded on Saturday.,none
MY TEAMMATE IS FRUSTRATED BECAUSE I AM SLOWING EVERYONE DOWN.,personalization
THE PROJECT FAILED BECAUSE I WASN'T CAPABLE ENOUGH.,personalization
My friend cancelled our plans because I wasn't good company.,personalization
portugal has never won the fifa world cup.,none
I studied for three hours before the exam.,none
they didn't invite me because they don't want me around.,mind_reading
the project failed because i wasn't capable enough.,personalization
My friend stopped talking because I must have done something wrong.,personalization
The project failed because I wasn't capable enough.,personalization
The meeting went badly because I ruined it for everyone.,personalization
"if i lose this competition, all my hard work was worthless.",catastrophizing
"<p>One customer complained, so all our customers must be unhappy.</p>",overgeneralization
"If I lose this competition, all my hard work was worthless.!!!---",catastrophizing
"If I lose this job, I'll never recover.",catastrophizing
They didn't invite me because they don't want me around.,mind_reading
She is having a bad day because I upset her.,personalization
"I GOT SICK ONCE AFTER EATING THERE, SO THAT RESTAURANT ALWAYS MAKES PEOPLE SICK.",overgeneralization
"One project failed, so none of my projects will ever work.",overgeneralization
My parents argued because I caused too much stress.,personalization
THE TEAM LOST THE MATCH 2-1.,none
THE AUDIENCE WAS QUIET BECAUSE THEY DIDN'T LIKE MY PRESENTATION.,mind_reading
"if my project fails, everything i've worked for will be pointless.",catastrophizing
My colleague made a mistake because I didn't explain things well enough.,personalization
He read my message and didn't respond because he's annoyed with me.!!!///,mind_reading
The temperature dropped significantly overnight.!!!+,none
<div>The temperature dropped significantly overnight.</div>,none
the restaurant was crowded on saturday.,none
<div>He chose another teammate because he thinks I'm useless.</div>,mind_reading
"they laughed after i spoke, so they were definitely laughing at me.",mind_reading
The audience was quiet because they didn't like my presentation.,mind_reading
<div>The team lost the match 2-1.</div>,none
It rained on our trip because I planned it badly.,personalization
Every interview I've had has gone terribly.,overgeneralization
MY FRIEND STOPPED TALKING BECAUSE I MUST HAVE DONE SOMETHING WRONG.,personalization
The company hired five new engineers this month.,none
She changed her major after her second year.!!!```,none
my teammate is frustrated because i am slowing everyone down.,personalization
Everyone deserves equal treatment under the law.!!!]]],none
The event failed because I organized it poorly.!!![[[,personalization
"IF I LOSE THIS JOB, I'LL NEVER RECOVER.",catastrophizing
A small mistake here could completely ruin everything.,catastrophizing
The interview lasted about forty minutes.,none
"If I make a mistake in front of the team, I'll lose everyone's respect forever.",catastrophizing
A single bad decision could destroy everything.,catastrophizing
"THEY LAUGHED AFTER I SPOKE, SO THEY WERE DEFINITELY LAUGHING AT ME.",mind_reading
"One person rejected my idea, so people hate my ideas.!!!+",overgeneralization
Everyone in my class is smarter than me.,overgeneralization
"One person rejected my idea, so people hate my ideas.",overgeneralization
"<div>If this presentation goes badly, everyone will remember it forever.</div>",catastrophizing
"if i don't get into this college, my life will be a disaster.",catastrophizing
My friend didn't reply to my message yesterday.,none
"<p>My team lost today, so we can never win.</p>",overgeneralization
<p>The company hired five new engineers this month.</p>,none
"My friend saw my message but didn't answer because she wants to ignore me.!!!,,,",mind_reading
"If I miss this opportunity, my future is ruined.",catastrophizing
"If this presentation goes badly, everyone will remember it forever.!!!++",catastrophizing
He hasn't texted me because he doesn't like me anymore.,mind_reading
the company rejected our proposal because i wasn't persuasive enough.,personalization
ONE MISTAKE WILL COMPLETELY RUIN MY FUTURE.,catastrophizing
My friend cancelled our plans because I wasn't good company.!!!@,personalization
<div>Every interview I've had has gone terribly.</div>,overgeneralization
A SINGLE BAD DECISION COULD DESTROY EVERYTHING.,catastrophizing
The event failed because I organized it poorly.,personalization
The library closes at eight in the evening.,none
"She sounded tired, so she must be bored of talking to me.!!!)))",mind_reading
<div>The recruiter hasn't replied because they think I'm unqualified.</div>,mind_reading
<p>I prefer tea to coffee.</p>,none
<p>The team lost the match 2-1.</p>,none
He is in a bad mood because of me.!!!...,personalization
<p>He didn't reply because he must be angry with me.</p>,mind_reading
nobody ever listens to what i say.,overgeneralization
"i made one awkward comment, so i ruin every conversation.",overgeneralization
"<p>My professor frowned, so he must think I'm stupid.</p>",mind_reading
"if i make a mistake in front of the team, i'll lose everyone's respect forever.",catastrophizing
My roommate closed the door because he doesn't want to talk to me.!!!%%,mind_reading
He walked past without saying hello because he is mad at me.,mind_reading
She smiled at everyone except me because she dislikes me.,mind_reading
The team lost the match 2-1.!!!?,none
Missing this deadline means my career is finished.,catastrophizing
My roommate closed the door because he doesn't want to talk to me.,mind_reading
THE RESTAURANT WAS CROWDED ON SATURDAY.,none
PORTUGAL HAS NEVER WON THE FIFA WORLD CUP.,none
"If I embarrass myself today, I'll never be able to face these people again.",catastrophizing
<p>I studied for three hours before the exam.</p>,none
the team lost the match 2-1.,none
the recruiter hasn't replied because they think i'm unqualified.,mind_reading
"<p>If this relationship ends, I'll never be happy again.</p>",catastrophizing
The customer was unhappy because I handled the situation badly.,personalization
one rejection could mean i have no future in this field.,catastrophizing
"IF I DON'T GET INTO THIS COLLEGE, MY LIFE WILL BE A DISASTER.",catastrophizing
"If I don't get into this college, my life will be a disaster.",catastrophizing
My manager didn't praise me because she thinks I'm incompetent.,mind_reading
"If my presentation fails, nobody will ever trust me again.",catastrophizing
<p>The interview lasted about forty minutes.</p>,none
"<div>If I lose this competition, all my hard work was worthless.</div>",catastrophizing
<p>The bus was delayed because of traffic.</p>,none
"i failed one exam, so i will always fail.",overgeneralization
he walked past without saying hello because he is mad at me.,mind_reading
THE GROUP DIDN'T FINISH ON TIME BECAUSE I WASN'T USEFUL ENOUGH.,personalization
"<p>If I embarrass myself today, I'll never be able to face these people again.</p>",catastrophizing
everyone in my class is smarter than me.,overgeneralization
my friend didn't reply to my message yesterday.,none
THE PROJECT REQUIRES PYTHON AND A DATABASE.,none
IT RAINED ON OUR TRIP BECAUSE I PLANNED IT BADLY.,personalization
"The meeting went badly because I ruined it for everyone.!!!,,,",personalization
Everyone became quiet because I said something wrong.,personalization
A SMALL MISTAKE HERE COULD COMPLETELY RUIN EVERYTHING.,catastrophizing
"<div>If I perform badly once, I'll never be respected again.</div>",catastrophizing
He is in a bad mood because of me.,personalization
<div>They didn't invite me because they don't want me around.</div>,mind_reading
"one project failed, so none of my projects will ever work.",overgeneralization
"my team lost today, so we can never win.",overgeneralization
My teammate is frustrated because I am slowing everyone down.!!!#,personalization
the audience was quiet because they didn't like my presentation.,mind_reading
"MY TEAM LOST TODAY, SO WE CAN NEVER WIN.",overgeneralization
My friend cancelled our plans because I wasn't good company.!!!*,personalization
Portugal has never won the FIFA World Cup.,none
"<p>She was quiet during dinner, so she must be upset with me.</p>",mind_reading
"If this relationship ends, I'll never be happy again.",catastrophizing
The team missed the deadline because I wasn't good enough.,personalization
my friend cancelled because i must have offended him.,mind_reading
"I made a mistake at work, so I'm bad at my job.!!!]]]",overgeneralization
<div>Everyone in my class is smarter than me.</div>,overgeneralization
my colleague made a mistake because i didn't explain things well enough.,personalization
One rejection could mean I have no future in this field.,catastrophizing
The company rejected our proposal because I wasn't persuasive enough.!!!),personalization
THE PRESENTATION WAS BORING BECAUSE I COULDN'T MAKE IT INTERESTING.,personalization
one mistake will completely ruin my future.,catastrophizing
"One failed interview means my career is doomed.!!!""""""",catastrophizing
"<div>If my project fails, everything I've worked for will be pointless.</div>",catastrophizing
The project requires Python and a database.!!!!!!,none
She smiled at everyone except me because she dislikes me.!!!^^,mind_reading
"<div>She sounded tired, so she must be bored of talking to me.</div>",mind_reading
<p>The project requires Python and a database.</p>,none
<div>The project requires Python and a database.</div>,none
"<div>I didn't get this internship, so I'll never get an internship.</div>",overgeneralization
"I MADE A MISTAKE AT WORK, SO I'M BAD AT MY JOB.",overgeneralization
Everyone deserves equal treatment under the law.,none
One mistake will completely ruin my future.!!!%%%,catastrophizing
"SHE WAS QUIET DURING DINNER, SO SHE MUST BE UPSET WITH ME.",mind_reading
He read my message and didn't respond because he's annoyed with me.,mind_reading
"Every time I try something new, I fail.",overgeneralization
"One project failed, so none of my projects will ever work.!!!!",overgeneralization
I submitted my application before the deadline.,none
<div>My manager didn't praise me because she thinks I'm incompetent.</div>,mind_reading
"I failed one exam, so I will always fail.",overgeneralization
NOBODY EVER LISTENS TO WHAT I SAY.,overgeneralization
"I struggled with calculus, so I'm terrible at every subject.",overgeneralization
"One customer complained, so all our customers must be unhappy.",overgeneralization
<p>One failed interview means my career is doomed.</p>,catastrophizing
"if i lose this job, i'll never recover.",catastrophizing
"If I perform badly once, I'll never be respected again.!!!!!!",catastrophizing
The customer was unhappy because I handled the situation badly.!!!|||,personalization
"MY PROFESSOR FROWNED, SO HE MUST THINK I'M STUPID.",mind_reading
<div>He is in a bad mood because of me.</div>,personalization
"If my project fails, everything I've worked for will be pointless.!!!??",catastrophizing
The team lost the match 2-1.!!![[,none
the bus was delayed because of traffic.,none
The project requires Python and a database.!!!??,none
<p>She smiled at everyone except me because she dislikes me.</p>,mind_reading
The bus was delayed because of traffic.!!!),none
"MY FRIEND IS UNHAPPY TODAY, SO IT MUST BE BECAUSE OF SOMETHING I DID.",personalization
"If I lose this competition, all my hard work was worthless.!!!>>>",catastrophizing
"IF I GET REJECTED, I'LL NEVER FIND ANOTHER OPPORTUNITY.",catastrophizing
<div>The team won three matches this season.</div>,none
a single bad decision could destroy everything.,catastrophizing
SHE CHANGED HER MAJOR AFTER HER SECOND YEAR.,none
<p>The audience was quiet because they didn't like my presentation.</p>,mind_reading
i studied for three hours before the exam.,none
Everyone became quiet because I said something wrong.!!!>,personalization
"if this presentation goes badly, everyone will remember it forever.",catastrophizing
They haven't complimented my work because they think it's terrible.,mind_reading
SHE IS HAVING A BAD DAY BECAUSE I UPSET HER.,personalization
The train arrived ten minutes late today.,none
He hasn't texted me because he doesn't like me anymore.!!!),mind_reading
my friend saw my message but didn't answer because she wants to ignore me.,mind_reading
My friend cancelled our plans because I wasn't good company.!!!#,personalization
EVERYONE IN MY CLASS IS SMARTER THAN ME.,overgeneralization
<p>The meeting went badly because I ruined it for everyone.</p>,personalization
He chose another teammate because he thinks I'm useless.,mind_reading
"One project failed, so none of my projects will ever work.!!!}}",overgeneralization
"My friend is unhappy today, so it must be because of something I did.",personalization
MY FRIEND CANCELLED BECAUSE I MUST HAVE OFFENDED HIM.,mind_reading
"I made a mistake at work, so I'm bad at my job.",overgeneralization
He didn't reply because he must be angry with me.,mind_reading
"My team lost today, so we can never win.",overgeneralization
"one person rejected my idea, so people hate my ideas.",overgeneralization
<div>The bus was delayed because of traffic.</div>,none
she changed her major after her second year.,none
"<div>One customer complained, so all our customers must be unhappy.</div>",overgeneralization
nobody wants to work with me.,overgeneralization
The recruiter hasn't replied because they think I'm unqualified.!!!\\\,mind_reading
My friend stopped talking because I must have done something wrong.!!!},personalization
"She sounded tired, so she must be bored of talking to me.",mind_reading
<p>He read my message and didn't respond because he's annoyed with me.</p>,mind_reading
"If I perform badly once, I'll never be respected again.",catastrophizing
"My professor frowned, so he must think I'm stupid.",mind_reading
<p>The company rejected our proposal because I wasn't persuasive enough.</p>,personalization
"My friend forgot my birthday, so she never cares about me.",overgeneralization
"My first attempt didn't work, so the idea is useless.!!!,,,",overgeneralization
"I made one awkward comment, so I ruin every conversation.",overgeneralization
"If I miss this opportunity, my future is ruined.!!!`",catastrophizing
"if i get rejected, i'll never find another opportunity.",catastrophizing
"One customer complained, so all our customers must be unhappy.!!!'''",overgeneralization
They haven't complimented my work because they think it's terrible.!!!;;;,mind_reading
"The interviewer looked serious, so they probably hated my answers.",mind_reading
"my friend is unhappy today, so it must be because of something i did.",personalization
"She looked away, so she probably thinks I'm boring.!!!!",mind_reading
"My professor frowned, so he must think I'm stupid.!!!$$$",mind_reading
"She was quiet during dinner, so she must be upset with me.",mind_reading
<div>The meeting went badly because I ruined it for everyone.</div>,personalization
The recruiter hasn't replied because they think I'm unqualified.,mind_reading
<p>The team missed the deadline because I wasn't good enough.</p>,personalization
"If I get rejected, I'll never find another opportunity.",catastrophizing
"If my presentation fails, nobody will ever trust me again.!!!))",catastrophizing
The team lost the match 2-1.,none
the library closes at eight in the evening.,none
People from that college are all arrogant.!!!~~~,overgeneralization
The project failed because I wasn't capable enough.!!!(((,personalization
<div>He walked past without saying hello because he is mad at me.</div>,mind_reading
"They laughed after I spoke, so they were definitely laughing at me.",mind_reading
he is in a bad mood because of me.,personalization
"IF MY PROJECT FAILS, EVERYTHING I'VE WORKED FOR WILL BE POINTLESS.",catastrophizing
"One customer complained, so all our customers must be unhappy.!!!++",overgeneralization
"They laughed after I spoke, so they were definitely laughing at me.!!!###",mind_reading
"The project failed because I wasn't capable enough.!!!,",personalization
My friend didn't reply to my message yesterday.!!!___,none
my friend stopped talking because i must have done something wrong.,personalization
MY ROOMMATE CLOSED THE DOOR BECAUSE HE DOESN'T WANT TO TALK TO ME.,mind_reading
"<div>I was late today, so I'm always irresponsible.</div>",overgeneralization
"<div>Every time I try something new, I fail.</div>",overgeneralization
"I FAILED ONE EXAM, SO I WILL ALWAYS FAIL.",overgeneralization
"i didn't get this internship, so i'll never get an internship.",overgeneralization
They haven't complimented my work because they think it's terrible.!!!#,mind_reading
The presentation was boring because I couldn't make it interesting.,personalization
One failed interview means my career is doomed.,catastrophizing
"the interviewer looked serious, so they probably hated my answers.",mind_reading
"if i perform badly once, i'll never be respected again.",catastrophizing
He walked past without saying hello because he is mad at me.!!!),mind_reading
i prefer tea to coffee.,none
She changed her major after her second year.,none
I made one mistake in the presentation.,none
The project requires Python and a database.,none
"ONE PROJECT FAILED, SO NONE OF MY PROJECTS WILL EVER WORK.",overgeneralization
my roommate closed the door because he doesn't want to talk to me.,mind_reading
"<div>She was quiet during dinner, so she must be upset with me.</div>",mind_reading
"If I lose this job, I'll never recover.!!!//",catastrophizing
"If I lose this competition, all my hard work was worthless.",catastrophizing
<div>He hasn't texted me because he doesn't like me anymore.</div>,mind_reading
