text,label
   A bad grade will destroy all my chances of succeeding. 	  ,catastrophizing
People from that college are all arrogant., overgeneralization 
The restaurant was crowded on Saturday.,none
MY TEAMMATE IS FRUSTRATED BECAUSE I AM SLOWING EVERYONE DOWN.,personalization
THE PROJECT FAILED BECAUSE I WASN'T CAPABLE ENOUGH.,personalization
My friend cancelled our plans because I wasn't good company., personalization 
The group didn't finish on time because I wasn't useful enough.!!!###,
portugal has never won the fifa world cup., none 
I studied for three hours before the exam., none 
they didn't invite me because they don't want me around.,mind_reading
the project failed because i wasn't capable enough.,personalization
My friend stopped talking because I must have done something wrong., personalization 
   The project failed because I wasn't capable enough. 	  ,personalization
   The meeting went badly because I ruined it for everyone. 	  ,PERSONALIZATION
"if i lose this competition, all my hard work was worthless.", catastrophizing 
"<p>One customer complained, so all our customers must be unhappy.</p>",overgeneralization
"If I lose this competition, all my hard work was worthless.!!!---", catastrophizing 
"If I lose this job, I'll never recover.",CATASTROPHIZING
   They didn't invite me because they don't want me around. 	  ,mind-reading
She is having a bad day because I upset her.,personalization
"I GOT SICK ONCE AFTER EATING THERE, SO THAT RESTAURANT ALWAYS MAKES PEOPLE SICK.",over_generalization
"   One project failed, so none of my projects will ever work. 	  ",overgeneralization
My parents argued because I caused too much stress., personalization 
THE TRAIN ARRIVED TEN MINUTES LATE TODAY.,
THE TEAM LOST THE MATCH 2-1.,none
   My friend cancelled our plans because I wasn't good company. 	  ,personalization
THE AUDIENCE WAS QUIET BECAUSE THEY DIDN'T LIKE MY PRESENTATION.,mind_reading
"if my project fails, everything i've worked for will be pointless.",CATASTROPHIZING
My colleague made a mistake because I didn't explain things well enough.,PERSONALIZATION
He read my message and didn't respond because he's annoyed with me.!!!///,mind_reading
The temperature dropped significantly overnight.!!!+,NONE
<div>The temperature dropped significantly overnight.</div>,none
the restaurant was crowded on saturday.,NONE
,none
<div>He chose another teammate because he thinks I'm useless.</div>,mind_reading
"they laughed after i spoke, so they were definitely laughing at me.",mind_reading
The audience was quiet because they didn't like my presentation.,MIND_READING
The project requires Python and a database.,
<div>The team lost the match 2-1.</div>,none
It rained on our trip because I planned it badly., personalization 
Every interview I've had has gone terribly.,over_generalization
MY FRIEND STOPPED TALKING BECAUSE I MUST HAVE DONE SOMETHING WRONG.,PERSONALIZATION
It rained on our trip because I planned it badly., personalization 
   The company hired five new engineers this month. 	  ,none
She changed her major after her second year.!!!```,none
my teammate is frustrated because i am slowing everyone down., personalization 
Everyone deserves equal treatment under the law.!!!]]],NONE
The event failed because I organized it poorly.!!![[[,personalization
I studied for three hours before the exam.,none
"IF I LOSE THIS JOB, I'LL NEVER RECOVER.",catastrophizing
A small mistake here could completely ruin everything.,catastrophizing
The restaurant was crowded on Saturday.,none
   The interview lasted about forty minutes. 	  ,none
"If I make a mistake in front of the team, I'll lose everyone's respect forever.", catastrophizing 
A single bad decision could destroy everything., catastrophizing 
"THEY LAUGHED AFTER I SPOKE, SO THEY WERE DEFINITELY LAUGHING AT ME.", mind_reading 
"One person rejected my idea, so people hate my ideas.!!!+",overgeneralization
Everyone in my class is smarter than me.,over_generalization
"   One person rejected my idea, so people hate my ideas. 	  ",overgeneralization
"<div>If this presentation goes badly, everyone will remember it forever.</div>",CATASTROPHIZING
The audience was quiet because they didn't like my presentation.,mind_reading
"if i don't get into this college, my life will be a disaster.",catastrophizing
   My friend didn't reply to my message yesterday. 	  , none 
"<p>My team lost today, so we can never win.</p>",OVERGENERALIZATION
<p>The company hired five new engineers this month.</p>,none
"My friend saw my message but didn't answer because she wants to ignore me.!!!,,,",mind_reading
"If I miss this opportunity, my future is ruined.",CATASTROPHIZING
The project failed because I wasn't capable enough.,personalization
"If this presentation goes badly, everyone will remember it forever.!!!++",CATASTROPHIZING
He hasn't texted me because he doesn't like me anymore.,mind-reading
the company rejected our proposal because i wasn't persuasive enough.,PERSONALIZATION
ONE MISTAKE WILL COMPLETELY RUIN MY FUTURE.,catastrophizing
"   If this presentation goes badly, everyone will remember it forever. 	  ",
MY TEAMMATE IS FRUSTRATED BECAUSE I AM SLOWING EVERYONE DOWN.,personalization
My friend cancelled our plans because I wasn't good company.!!!@,personalization
<div>Every interview I've had has gone terribly.</div>,overgeneralization
A SINGLE BAD DECISION COULD DESTROY EVERYTHING.,catastrophizing
My friend didn't reply to my message yesterday.,
The event failed because I organized it poorly.,personalization
,mind_reading
   The library closes at eight in the evening. 	  , none 
"She sounded tired, so she must be bored of talking to me.!!!)))",mind_reading
<div>The recruiter hasn't replied because they think I'm unqualified.</div>,mind_reading
,none
,overgeneralization
<p>I prefer tea to coffee.</p>,none
<p>The team lost the match 2-1.</p>, none 
He is in a bad mood because of me.!!!..., personalization 
<p>He didn't reply because he must be angry with me.</p>,MIND_READING
nobody ever listens to what i say.,over_generalization
"i made one awkward comment, so i ruin every conversation.",overgeneralization
   Our professor assigned two chapters for Monday. 	  ,
"<p>My professor frowned, so he must think I'm stupid.</p>", mind_reading 
,none
"   If I make a mistake in front of the team, I'll lose everyone's respect forever. 	  ",catastrophizing
"if i make a mistake in front of the team, i'll lose everyone's respect forever.",catastrophizing
"One person rejected my idea, so people hate my ideas.",overgeneralization
   My friend stopped talking because I must have done something wrong. 	  ,
My roommate closed the door because he doesn't want to talk to me.!!!%%,mind_reading
He walked past without saying hello because he is mad at me.,mind_reading
She smiled at everyone except me because she dislikes me.,MIND_READING
The team lost the match 2-1.!!!?, none 
Missing this deadline means my career is finished.,CATASTROPHIZING
My roommate closed the door because he doesn't want to talk to me.,mind_reading
, personalization 
THE RESTAURANT WAS CROWDED ON SATURDAY.,none
PORTUGAL HAS NEVER WON THE FIFA WORLD CUP.,none
"If I embarrass myself today, I'll never be able to face these people again.",catastrophizing
<p>I studied for three hours before the exam.</p>,none
the team lost the match 2-1.,none
the recruiter hasn't replied because they think i'm unqualified.,mind_reading
"<p>If this relationship ends, I'll never be happy again.</p>",catastrophizing
   The customer was unhappy because I handled the situation badly. 	  , personalization 
one rejection could mean i have no future in this field.,CATASTROPHIZING
"IF I DON'T GET INTO THIS COLLEGE, MY LIFE WILL BE A DISASTER.",catastrophizing
The interview lasted about forty minutes.,none
,OVERGENERALIZATION
"   If I don't get into this college, my life will be a disaster. 	  ",catastrophizing
My manager didn't praise me because she thinks I'm incompetent.,mind_reading
"If my presentation fails, nobody will ever trust me again.",catastrophizing
   It rained on our trip because I planned it badly. 	  ,personalization
<p>The interview lasted about forty minutes.</p>,none
"<div>If I lose this competition, all my hard work was worthless.</div>",catastrophizing
<p>The bus was delayed because of traffic.</p>, none 
"One person rejected my idea, so people hate my ideas.",over_generalization
"i failed one exam, so i will always fail.",overgeneralization
he walked past without saying hello because he is mad at me.,mind_reading
THE GROUP DIDN'T FINISH ON TIME BECAUSE I WASN'T USEFUL ENOUGH.,personalization
   The event failed because I organized it poorly. 	  ,personalization
"<p>If I embarrass myself today, I'll never be able to face these people again.</p>",catastrophizing
everyone in my class is smarter than me.,overgeneralization
my friend didn't reply to my message yesterday.,none
THE PROJECT REQUIRES PYTHON AND A DATABASE., none 
IT RAINED ON OUR TRIP BECAUSE I PLANNED IT BADLY.,PERSONALIZATION
"If I miss this opportunity, my future is ruined.",CATASTROPHIZING
"The meeting went badly because I ruined it for everyone.!!!,,,", personalization 
   Everyone became quiet because I said something wrong. 	  ,PERSONALIZATION
My parents argued because I caused too much stress.,personalization
A SMALL MISTAKE HERE COULD COMPLETELY RUIN EVERYTHING.,catastrophizing
"<div>If I perform badly once, I'll never be respected again.</div>",catastrophizing
She is having a bad day because I upset her., personalization 
He is in a bad mood because of me.,PERSONALIZATION
everyone in my class is smarter than me.,overgeneralization
<div>They didn't invite me because they don't want me around.</div>,mind_reading
"one project failed, so none of my projects will ever work.",overgeneralization
"my team lost today, so we can never win.",overgeneralization
My teammate is frustrated because I am slowing everyone down.!!!#,personalization
the audience was quiet because they didn't like my presentation.,mind-reading
"MY TEAM LOST TODAY, SO WE CAN NEVER WIN.",overgeneralization
My colleague made a mistake because I didn't explain things well enough.,personalization
My friend cancelled our plans because I wasn't good company.!!!*,personalization
   The meeting went badly because I ruined it for everyone. 	  , personalization 
Portugal has never won the FIFA World Cup., none 
"<p>She was quiet during dinner, so she must be upset with me.</p>",mind-reading
<div>The temperature dropped significantly overnight.</div>,none
"If this relationship ends, I'll never be happy again.",catastrophizing
People from that college are all arrogant.,OVERGENERALIZATION
The team missed the deadline because I wasn't good enough.,personalization
my friend cancelled because i must have offended him.,mind-reading
"I made a mistake at work, so I'm bad at my job.!!!]]]",overgeneralization
"<p>Every time I try something new, I fail.</p>",
<div>Everyone in my class is smarter than me.</div>, overgeneralization 
my colleague made a mistake because i didn't explain things well enough.,personalization
One rejection could mean I have no future in this field.,CATASTROPHIZING
The company rejected our proposal because I wasn't persuasive enough.!!!),PERSONALIZATION
THE PRESENTATION WAS BORING BECAUSE I COULDN'T MAKE IT INTERESTING.,personalization
one mistake will completely ruin my future.,catastrophizing
"One failed interview means my career is doomed.!!!""""""",catastrophizing
"<div>If my project fails, everything I've worked for will be pointless.</div>", catastrophizing 
PORTUGAL HAS NEVER WON THE FIFA WORLD CUP.,none
The project requires Python and a database.!!!!!!,none
She smiled at everyone except me because she dislikes me.!!!^^,mind_reading
"<div>She sounded tired, so she must be bored of talking to me.</div>",mind_reading
<p>The project requires Python and a database.</p>,none
,none
The interview lasted about forty minutes.,none
<div>The project requires Python and a database.</div>,none
"<div>I didn't get this internship, so I'll never get an internship.</div>",overgeneralization
"I MADE A MISTAKE AT WORK, SO I'M BAD AT MY JOB.",overgeneralization
my teammate is frustrated because i am slowing everyone down.,personalization
A small mistake here could completely ruin everything.,CATASTROPHIZING
A small mistake here could completely ruin everything.,catastrophizing
"If this relationship ends, I'll never be happy again.",catastrophizing
   Everyone deserves equal treatment under the law. 	  ,NONE
"   If my presentation fails, nobody will ever trust me again. 	  ",catastrophizing
One mistake will completely ruin my future.!!!%%%,catastrophizing
my friend didn't reply to my message yesterday.,NONE
"SHE WAS QUIET DURING DINNER, SO SHE MUST BE UPSET WITH ME.",mind_reading
He read my message and didn't respond because he's annoyed with me.,MIND_READING
"Every time I try something new, I fail.",overgeneralization
<div>The temperature dropped significantly overnight.</div>, none 
"One project failed, so none of my projects will ever work.!!!!",over_generalization
"THEY LAUGHED AFTER I SPOKE, SO THEY WERE DEFINITELY LAUGHING AT ME.",mind_reading
   I submitted my application before the deadline. 	  , none 
The event failed because I organized it poorly.,personalization
<div>My manager didn't praise me because she thinks I'm incompetent.</div>,mind-reading
,catastrophizing
"   I failed one exam, so I will always fail. 	  ",OVERGENERALIZATION
She is having a bad day because I upset her.,personalization
"<div>If I miss this opportunity, my future is ruined.</div>",
NOBODY EVER LISTENS TO WHAT I SAY.,overgeneralization
"They laughed after I spoke, so they were definitely laughing at me.!!!|",
   A small mistake here could completely ruin everything. 	  ,catastrophizing
She is having a bad day because I upset her., personalization 
My friend cancelled our plans because I wasn't good company.,personalization
"   I struggled with calculus, so I'm terrible at every subject. 	  ",OVERGENERALIZATION
A small mistake here could completely ruin everything.,catastrophizing
"One customer complained, so all our customers must be unhappy.", overgeneralization 
<p>One failed interview means my career is doomed.</p>, catastrophizing 
The project failed because I wasn't capable enough.,personalization
"If my presentation fails, nobody will ever trust me again.",catastrophizing
"   If this relationship ends, I'll never be happy again. 	  ",catastrophizing
"if i lose this job, i'll never recover.",catastrophizing
, mind_reading 
"SHE WAS QUIET DURING DINNER, SO SHE MUST BE UPSET WITH ME.",MIND_READING
   Portugal has never won the FIFA World Cup. 	  ,none
"If I perform badly once, I'll never be respected again.!!!!!!",catastrophizing
The customer was unhappy because I handled the situation badly.!!!|||,personalization
"MY PROFESSOR FROWNED, SO HE MUST THINK I'M STUPID.", mind_reading 
<div>He is in a bad mood because of me.</div>,personalization
portugal has never won the fifa world cup.,none
"If my project fails, everything I've worked for will be pointless.!!!??",catastrophizing
"I didn't get this internship, so I'll never get an internship.",
everyone in my class is smarter than me.,over_generalization
,none
The team lost the match 2-1.!!![[,none
the bus was delayed because of traffic.,none
The project requires Python and a database.!!!??,none
<p>She smiled at everyone except me because she dislikes me.</p>,mind_reading
Portugal has never won the FIFA World Cup.,none
   Everyone in my class is smarter than me. 	  ,overgeneralization
"<p>If I embarrass myself today, I'll never be able to face these people again.</p>",catastrophizing
The bus was delayed because of traffic.!!!), none 
"MY FRIEND IS UNHAPPY TODAY, SO IT MUST BE BECAUSE OF SOMETHING I DID.",PERSONALIZATION
"If I lose this competition, all my hard work was worthless.!!!>>>",catastrophizing
ONE MISTAKE WILL COMPLETELY RUIN MY FUTURE.,CATASTROPHIZING
I studied for three hours before the exam.,none
"IF I GET REJECTED, I'LL NEVER FIND ANOTHER OPPORTUNITY.",CATASTROPHIZING
<div>The team won three matches this season.</div>,none
"One customer complained, so all our customers must be unhappy.",OVERGENERALIZATION
a single bad decision could destroy everything.,catastrophizing
SHE CHANGED HER MAJOR AFTER HER SECOND YEAR.,none
"   If I lose this job, I'll never recover. 	  ",catastrophizing
   The company hired five new engineers this month. 	  , none 
,none
<p>The audience was quiet because they didn't like my presentation.</p>,mind_reading
i studied for three hours before the exam.,none
"   If I miss this opportunity, my future is ruined. 	  ",catastrophizing
Everyone became quiet because I said something wrong.!!!>,personalization
"if this presentation goes badly, everyone will remember it forever.",CATASTROPHIZING
   They haven't complimented my work because they think it's terrible. 	  ,mind-reading
SHE IS HAVING A BAD DAY BECAUSE I UPSET HER.,personalization
"I failed one exam, so I will always fail.", overgeneralization 
The train arrived ten minutes late today.,none
He hasn't texted me because he doesn't like me anymore.!!!),mind_reading
my friend saw my message but didn't answer because she wants to ignore me.,mind_reading
My friend cancelled our plans because I wasn't good company.!!!#, personalization 
   Portugal has never won the FIFA World Cup. 	  , none 
The meeting went badly because I ruined it for everyone., personalization 
, personalization 
